dataset_file,n_points,k_clusters,n_dims,total_time_s,time_per_iter_s,n_iters,final_inertia,version
data_n10000000_k50_d32,10000000,50,32,1.201599,0.060080,20,269343960.99,baseline
data_n10000000_k50_d32,10000000,50,32,0.958076,0.047904,20,268926128.69,optimised
data_n1000000_k100_d32,1000000,100,32,0.106186,0.005309,20,132405739.69,baseline
data_n1000000_k100_d32,1000000,100,32,0.128184,0.006409,20,132403550.78,optimised
data_n1000000_k10_d32,1000000,10,32,0.294710,0.014735,20,183195855.11,baseline
data_n1000000_k10_d32,1000000,10,32,0.064288,0.003214,20,183194590.17,optimised
data_n1000000_k200_d32,1000000,200,32,0.133215,0.006661,20,152828865.53,baseline
data_n1000000_k200_d32,1000000,200,32,0.173509,0.008675,20,152826496.91,optimised
data_n1000000_k500_d32,1000000,500,32,0.287830,0.014391,20,150540721.30,baseline
data_n1000000_k500_d32,1000000,500,32,0.349438,0.017472,20,150538326.01,optimised
data_n1000000_k50_d128,1000000,50,128,0.557214,0.027861,20,753186189.61,baseline
data_n1000000_k50_d128,1000000,50,128,0.682270,0.034113,20,753184572.44,optimised
data_n1000000_k50_d256,1000000,50,256,1.152851,0.057643,20,1674157819.88,baseline
data_n1000000_k50_d256,1000000,50,256,1.351690,0.067585,20,1674155255.33,optimised
data_n1000000_k50_d2,1000000,50,2,0.016750,0.000837,20,1094010.80,baseline
data_n1000000_k50_d2,1000000,50,2,0.005418,0.000271,20,1079906.92,optimised
data_n1000000_k50_d32,1000000,50,32,0.121606,0.006080,20,179940262.44,baseline
data_n1000000_k50_d32,1000000,50,32,0.103648,0.005182,20,179936981.69,optimised
data_n1000000_k50_d512,1000000,50,512,1.962188,0.098109,20,3370907124.43,baseline
data_n1000000_k50_d512,1000000,50,512,2.718099,0.135905,20,3370905741.98,optimised
data_n1000000_k50_d64,1000000,50,64,0.314924,0.015746,20,443906940.19,baseline
data_n1000000_k50_d64,1000000,50,64,0.324194,0.016210,20,443904808.31,optimised
data_n1000000_k50_d8,1000000,50,8,0.054814,0.002741,20,21542374.95,baseline
data_n1000000_k50_d8,1000000,50,8,0.012242,0.000612,20,21539750.17,optimised
data_n100000_k50_d32,100000,50,32,0.010577,0.000529,20,14186343.14,baseline
data_n100000_k50_d32,100000,50,32,0.011780,0.000589,20,14186115.43,optimised
data_n10000_k50_d32,10000,50,32,0.003586,0.000179,20,1950301.33,baseline
data_n10000_k50_d32,10000,50,32,0.010713,0.000536,20,1950301.33,optimised
data_n5000000_k50_d32,5000000,50,32,0.614463,0.030723,20,712157399.50,baseline
data_n5000000_k50_d32,5000000,50,32,0.479596,0.023980,20,712150657.37,optimised
